BIN	Brand	Type	Category	Issuer	IssuerPhone	IssuerUrl	isoCode2	isoCode3	CountryName
2102	PRIVATE LABEL	CREDIT	STANDARD	CHINA MERCHANTS BANK	95555	https://english.cmbchina.com	CN	CHN	CHINA
2195	PRIVATE LABEL	DEBIT		CHINA MERCHANTS BANK	95555	https://english.cmbchina.com	CN	CHN	CHINA
2201	PRIVATE LABEL	DEBIT		CHINA MERCHANTS BANK	95555	https://english.cmbchina.com	CN	CHN	CHINA
2239	PRIVATE LABEL	DEBIT		CHINA MERCHANTS BANK	95555	https://english.cmbchina.com	CN	CHN	CHINA
2361	PRIVATE LABEL	CREDIT	STANDARD	CHINA MERCHANTS BANK	95555	https://english.cmbchina.com	CN	CHN	CHINA
4078	PRIVATE LABEL	DEBIT	GIFT	SHIFT4 PAYMENTS			US	USA	UNITED STATES
4080	PRIVATE LABEL	DEBIT	GIFT	SHIFT4 PAYMENTS			US	USA	UNITED STATES
7343	PRIVATE LABEL	DEBIT		BANCO PAN	5.51732E+11		BR	BRA	BRAZIL
10051	PAGOBANCOMAT	DEBIT					IT	ITA	ITALY
10053	PAGOBANCOMAT	DEBIT					IT	ITA	ITALY
10108	PAGOBANCOMAT	DEBIT					IT	ITA	ITALY
10150	PAGOBANCOMAT	DEBIT					IT	ITA	ITALY
10258	PAGOBANCOMAT	DEBIT					IT	ITA	ITALY
10300	PAGOBANCOMAT	DEBIT					IT	ITA	ITALY
10309	PAGOBANCOMAT	DEBIT					IT	ITA	ITALY
11300	LOCAL BRAND	DEBIT	PROPRIETARY ATM	BDO UNIBANK, INC.			PH	PHL	PHILIPPINES
11301	LOCAL BRAND	DEBIT	PROPRIETARY ATM	BDO UNIBANK, INC.			PH	PHL	PHILIPPINES
11302	LOCAL BRAND	DEBIT	PROPRIETARY ATM	BDO UNIBANK, INC.			PH	PHL	PHILIPPINES
11303	LOCAL BRAND	DEBIT	PROPRIETARY ATM	BDO UNIBANK, INC.			PH	PHL	PHILIPPINES
11304	LOCAL BRAND	DEBIT	PROPRIETARY ATM	BDO UNIBANK, INC.			PH	PHL	PHILIPPINES
